# NEPTS  2002 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -1.5653E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -1.5614E-01  1.2797E-13  1.2797E-13  1.2243E-12
 -1.5576E-01  7.1536E-01  7.1536E-01  6.8441E+00
 -1.5538E-01  1.4307E+00  1.4307E+00  1.3688E+01
 -1.5499E-01  1.0451E+00  1.0451E+00  1.1108E+01
 -1.5461E-01  5.0318E-01  5.0318E-01  6.2364E+00
 -1.5422E-01  1.0344E-02  1.0344E-02  1.3225E+00
 -1.5384E-01 -3.7960E-01 -3.7960E-01 -2.8125E+00
 -1.5346E-01 -6.4154E-01 -6.4154E-01 -5.7437E+00
 -1.5307E-01 -7.7133E-01 -7.7133E-01 -7.3329E+00
 -1.5269E-01 -7.7933E-01 -7.7933E-01 -7.6405E+00
 -1.5231E-01 -6.8518E-01 -6.8518E-01 -6.8537E+00
 -1.5192E-01 -5.1361E-01 -5.1361E-01 -5.2307E+00
 -1.5154E-01 -2.9115E-01 -2.9115E-01 -3.0575E+00
 -1.5115E-01 -4.3637E-02 -4.3637E-02 -6.1601E-01
 -1.5077E-01  2.0558E-01  2.0558E-01  1.8390E+00
 -1.5039E-01  4.3688E-01  4.3688E-01  4.0946E+00
 -1.5000E-01  6.3511E-01  6.3511E-01  5.9880E+00
 -1.4962E-01  7.8991E-01  7.8991E-01  7.4108E+00
 -1.4924E-01  8.9572E-01  8.9572E-01  8.3079E+00
 -1.4885E-01  9.5158E-01  9.5158E-01  8.6741E+00
 -1.4847E-01  9.6063E-01  9.6063E-01  8.5486E+00
 -1.4808E-01  9.2955E-01  9.2955E-01  8.0075E+00
 -1.4770E-01  8.6790E-01  8.6790E-01  7.1561E+00
 -1.4732E-01  7.8739E-01  7.8739E-01  6.1198E+00
 -1.4693E-01  7.0112E-01  7.0112E-01  5.0363E+00
 -1.4655E-01  6.2286E-01  6.2286E-01  4.0472E+00
 -1.4617E-01  5.6637E-01  5.6637E-01  3.2910E+00
 -1.4578E-01  5.4475E-01  5.4475E-01  2.8961E+00
 -1.4540E-01  5.6991E-01  5.6991E-01  2.9758E+00
 -1.4501E-01  6.5207E-01  6.5207E-01  3.6233E+00
 -1.4463E-01  7.9940E-01  7.9940E-01  4.9091E+00
 -1.4425E-01  1.0177E+00  1.0177E+00  6.8784E+00
 -1.4386E-01  1.3104E+00  1.3104E+00  9.5499E+00
 -1.4348E-01  1.6780E+00  1.6780E+00  1.2916E+01
 -1.4310E-01  2.1188E+00  2.1188E+00  1.6945E+01
 -1.4271E-01  2.6283E+00  2.6283E+00  2.1580E+01
 -1.4233E-01  3.1999E+00  3.1999E+00  2.6744E+01
 -1.4194E-01  3.8246E+00  3.8246E+00  3.2342E+01
 -1.4156E-01  4.4921E+00  4.4921E+00  3.8265E+01
 -1.4118E-01  5.1902E+00  5.1902E+00  4.4393E+01
 -1.4079E-01  5.9060E+00  5.9060E+00  5.0602E+01
 -1.4041E-01  6.6257E+00  6.6257E+00  5.6764E+01
 -1.4003E-01  7.3357E+00  7.3357E+00  6.2756E+01
 -1.3964E-01  8.0221E+00  8.0221E+00  6.8459E+01
 -1.3926E-01  8.6722E+00  8.6722E+00  7.3766E+01
 -1.3887E-01  9.2739E+00  9.2739E+00  7.8584E+01
 -1.3849E-01  9.8168E+00  9.8168E+00  8.2835E+01
 -1.3811E-01  1.0314E+01  1.0314E+01  8.6461E+01
 -1.3772E-01  1.0764E+01  1.0764E+01  8.9423E+01
 -1.3734E-01  1.1135E+01  1.1135E+01  9.1708E+01
 -1.3696E-01  1.1424E+01  1.1424E+01  9.3320E+01
 -1.3657E-01  1.1111E+01  1.1111E+01  9.0706E+01
 -1.3619E-01  1.1288E+01  1.1288E+01  9.2460E+01
 -1.3581E-01  1.1817E+01  1.1817E+01  9.7306E+01
